batter,againstTeam,batsman_run
A Ashish Reddy,Chennai Super Kings,3
A Ashish Reddy,Delhi Daredevils,4
A Ashish Reddy,Kings XI Punjab,3
A Ashish Reddy,Pune Warriors,1
A Ashish Reddy,Rajasthan Royals,3
A Ashish Reddy,Royal Challengers Bangalore,2
A Badoni,Delhi Capitals,1
A Badoni,Gujarat Titans,5
A Badoni,Royal Challengers Bangalore,2
A Badoni,Sunrisers Hyderabad,3
A Chopra,Deccan Chargers,5
A Chopra,Delhi Daredevils,2
A Choudhary,Gujarat Lions,1
A Flintoff,Delhi Daredevils,1
A Flintoff,Mumbai Indians,2
A Flintoff,Royal Challengers Bangalore,2
A Kumble,Kings XI Punjab,1
A Kumble,Mumbai Indians,1
A Kumble,Rajasthan Royals,1
A Manohar,Chennai Super Kings,2
A Manohar,Lucknow Super Giants,3
A Manohar,Rajasthan Royals,4
A Manohar,Sunrisers Hyderabad,5
A Mishra,Chennai Super Kings,6
A Mishra,Delhi Daredevils,2
A Mishra,Gujarat Lions,2
A Mishra,Kings XI Punjab,1
A Mishra,Kolkata Knight Riders,4
A Mishra,Mumbai Indians,9
A Mishra,Pune Warriors,3
A Mishra,Rajasthan Royals,2
A Mithun,Chennai Super Kings,2
A Mithun,Delhi Daredevils,1
A Mithun,Kings XI Punjab,1
A Mukund,Rajasthan Royals,1
A Nehra,Deccan Chargers,2
A Nehra,Rajasthan Royals,1
A Tomar,Lucknow Super Giants,1
A Zampa,Delhi Daredevils,1
AA Bilakhia,Chennai Super Kings,1
AA Bilakhia,Delhi Daredevils,2
AA Bilakhia,Royal Challengers Bangalore,2
AA Chavan,Delhi Daredevils,1
AA Chavan,Mumbai Indians,1
AA Jhunjhunwala,Chennai Super Kings,2
AA Jhunjhunwala,Deccan Chargers,1
AA Jhunjhunwala,Delhi Daredevils,6
AA Jhunjhunwala,Kolkata Knight Riders,5
AA Jhunjhunwala,Mumbai Indians,3
AA Jhunjhunwala,Royal Challengers Bangalore,2
AA Noffke,Kolkata Knight Riders,1
AB Agarkar,Chennai Super Kings,3
AB Agarkar,Deccan Chargers,1
AB Agarkar,Delhi Daredevils,4
AB Agarkar,Mumbai Indians,3
AB Agarkar,Rajasthan Royals,2
AB Barath,Deccan Chargers,1
AB Barath,Mumbai Indians,4
AB Dinda,Delhi Daredevils,1
AB Dinda,Royal Challengers Bangalore,1
AB McDonald,Delhi Daredevils,4
AB McDonald,Kings XI Punjab,2
AB McDonald,Rajasthan Royals,2
AB McDonald,Royal Challengers Bangalore,1
AB de Villiers,Chennai Super Kings,42
AB de Villiers,Deccan Chargers,12
AB de Villiers,Delhi Capitals,9
AB de Villiers,Delhi Daredevils,40
AB de Villiers,Gujarat Lions,17
AB de Villiers,Kings XI Punjab,47
AB de Villiers,Kochi Tuskers Kerala,1
AB de Villiers,Kolkata Knight Riders,46
AB de Villiers,Mumbai Indians,72
AB de Villiers,Pune Warriors,12
AB de Villiers,Punjab Kings,1
AB de Villiers,Rajasthan Royals,55
AB de Villiers,Rising Pune Supergiants,7
AB de Villiers,Royal Challengers Bangalore,7
AB de Villiers,Sunrisers Hyderabad,46
AC Blizzard,Delhi Daredevils,8
AC Blizzard,Kings XI Punjab,3
AC Blizzard,Kolkata Knight Riders,7
AC Blizzard,Pune Warriors,1
AC Blizzard,Royal Challengers Bangalore,2
