batter,againstTeam,batsman_run
A Ashish Reddy,Chennai Super Kings,45
A Ashish Reddy,Delhi Daredevils,36
A Ashish Reddy,Kings XI Punjab,37
A Ashish Reddy,Kolkata Knight Riders,17
A Ashish Reddy,Mumbai Indians,27
A Ashish Reddy,Pune Warriors,26
A Ashish Reddy,Rajasthan Royals,37
A Ashish Reddy,Royal Challengers Bangalore,55
A Badoni,Chennai Super Kings,19
A Badoni,Delhi Capitals,10
A Badoni,Gujarat Titans,62
A Badoni,Kolkata Knight Riders,15
A Badoni,Mumbai Indians,14
A Badoni,Punjab Kings,4
A Badoni,Rajasthan Royals,5
A Badoni,Royal Challengers Bangalore,13
A Badoni,Sunrisers Hyderabad,19
A Chandila,Deccan Chargers,0
A Chandila,Royal Challengers Bangalore,4
A Chopra,Deccan Chargers,35
A Chopra,Delhi Daredevils,13
A Chopra,Kings XI Punjab,2
A Chopra,Mumbai Indians,1
A Chopra,Royal Challengers Bangalore,2
A Choudhary,Gujarat Lions,15
A Choudhary,Kings XI Punjab,4
A Choudhary,Sunrisers Hyderabad,6
A Dananjaya,Delhi Daredevils,4
A Flintoff,Delhi Daredevils,16
A Flintoff,Mumbai Indians,24
A Flintoff,Royal Challengers Bangalore,22
A Kumble,Chennai Super Kings,3
A Kumble,Deccan Chargers,4
A Kumble,Delhi Daredevils,2
A Kumble,Kings XI Punjab,9
A Kumble,Mumbai Indians,9
A Kumble,Rajasthan Royals,8
A Manohar,Chennai Super Kings,12
A Manohar,Delhi Capitals,1
A Manohar,Kolkata Knight Riders,2
A Manohar,Lucknow Super Giants,15
A Manohar,Rajasthan Royals,43
A Manohar,Sunrisers Hyderabad,35
A Mishra,Chennai Super Kings,58
A Mishra,Deccan Chargers,6
A Mishra,Delhi Daredevils,22
A Mishra,Gujarat Lions,8
A Mishra,Kings XI Punjab,27
A Mishra,Kochi Tuskers Kerala,0
A Mishra,Kolkata Knight Riders,62
A Mishra,Mumbai Indians,88
A Mishra,Pune Warriors,30
A Mishra,Rajasthan Royals,30
A Mishra,Rising Pune Supergiants,13
A Mishra,Royal Challengers Bangalore,17
A Mishra,Sunrisers Hyderabad,1
A Mithun,Chennai Super Kings,11
A Mithun,Delhi Daredevils,5
A Mithun,Kings XI Punjab,16
A Mithun,Kolkata Knight Riders,2
A Mukund,Rajasthan Royals,19
A Nehra,Chennai Super Kings,1
A Nehra,Deccan Chargers,22
A Nehra,Delhi Daredevils,1
A Nehra,Kings XI Punjab,6
A Nehra,Kolkata Knight Riders,1
A Nehra,Mumbai Indians,1
A Nehra,Rajasthan Royals,9
A Nehra,Royal Challengers Bangalore,0
A Nehra,Sunrisers Hyderabad,0
A Nortje,Chennai Super Kings,1
A Nortje,Kings XI Punjab,3
A Nortje,Sunrisers Hyderabad,4
A Tomar,Lucknow Super Giants,4
A Uniyal,Delhi Daredevils,4
A Uniyal,Mumbai Indians,0
A Zampa,Delhi Daredevils,5
A Zampa,Sunrisers Hyderabad,0
AA Bilakhia,Chennai Super Kings,12
AA Bilakhia,Delhi Daredevils,32
AA Bilakhia,Rajasthan Royals,3
AA Bilakhia,Royal Challengers Bangalore,22
AA Chavan,Delhi Daredevils,7
AA Chavan,Kochi Tuskers Kerala,1
AA Chavan,Mumbai Indians,4
AA Jhunjhunwala,Chennai Super Kings,19
AA Jhunjhunwala,Deccan Chargers,11
AA Jhunjhunwala,Delhi Daredevils,59
AA Jhunjhunwala,Kings XI Punjab,19
AA Jhunjhunwala,Kolkata Knight Riders,45
AA Jhunjhunwala,Mumbai Indians,46
AA Jhunjhunwala,Royal Challengers Bangalore,18
AA Noffke,Kolkata Knight Riders,9
AB Agarkar,Chennai Super Kings,23
AB Agarkar,Deccan Chargers,15
AB Agarkar,Delhi Daredevils,56
AB Agarkar,Kings XI Punjab,10
AB Agarkar,Mumbai Indians,24
AB Agarkar,Rajasthan Royals,39
AB Agarkar,Royal Challengers Bangalore,12
AB Barath,Deccan Chargers,7
AB Barath,Delhi Daredevils,2
AB Barath,Mumbai Indians,33
AB Dinda,Chennai Super Kings,2
AB Dinda,Deccan Chargers,2
AB Dinda,Delhi Daredevils,7
AB Dinda,Kings XI Punjab,4
AB Dinda,Mumbai Indians,3
AB Dinda,Rajasthan Royals,1
AB Dinda,Royal Challengers Bangalore,7
AB Dinda,Sunrisers Hyderabad,0
AB McDonald,Chennai Super Kings,8
AB McDonald,Delhi Daredevils,30
AB McDonald,Kings XI Punjab,17
AB McDonald,Mumbai Indians,33
AB McDonald,Rajasthan Royals,14
AB McDonald,Royal Challengers Bangalore,21
AB de Villiers,Chennai Super Kings,532
AB de Villiers,Deccan Chargers,153
AB de Villiers,Delhi Capitals,179
AB de Villiers,Delhi Daredevils,409
AB de Villiers,Gujarat Lions,233
AB de Villiers,Kings XI Punjab,710
AB de Villiers,Kochi Tuskers Kerala,54
AB de Villiers,Kolkata Knight Riders,522
AB de Villiers,Mumbai Indians,791
AB de Villiers,Pune Warriors,149
AB de Villiers,Punjab Kings,26
AB de Villiers,Rajasthan Royals,652
AB de Villiers,Rising Pune Supergiants,116
AB de Villiers,Royal Challengers Bangalore,115
AB de Villiers,Sunrisers Hyderabad,540
AC Blizzard,Deccan Chargers,1
AC Blizzard,Delhi Daredevils,37
AC Blizzard,Kings XI Punjab,15
AC Blizzard,Kolkata Knight Riders,51
AC Blizzard,Pune Warriors,6
AC Blizzard,Royal Challengers Bangalore,10
AC Gilchrist,Chennai Super Kings,255
AC Gilchrist,Deccan Chargers,112
AC Gilchrist,Delhi Daredevils,321
AC Gilchrist,Kings XI Punjab,141
AC Gilchrist,Kochi Tuskers Kerala,9
AC Gilchrist,Kolkata Knight Riders,271
AC Gilchrist,Mumbai Indians,234
AC Gilchrist,Pune Warriors,50
AC Gilchrist,Rajasthan Royals,255
AC Gilchrist,Royal Challengers Bangalore,369
AC Gilchrist,Sunrisers Hyderabad,52
AC Thomas,Chennai Super Kings,1
AC Thomas,Deccan Chargers,12
AC Thomas,Mumbai Indians,0
AC Thomas,Royal Challengers Bangalore,7
AC Voges,Chennai Super Kings,20
AC Voges,Delhi Daredevils,15
AC Voges,Kings XI Punjab,45
AC Voges,Kolkata Knight Riders,45
AC Voges,Mumbai Indians,28
AC Voges,Royal Challengers Bangalore,28
AD Hales,Chennai Super Kings,2
AD Hales,Delhi Daredevils,59
AD Hales,Rajasthan Royals,45
AD Hales,Royal Challengers Bangalore,42
AD Mascarenhas,Chennai Super Kings,8
AD Mascarenhas,Delhi Daredevils,12
AD Mascarenhas,Kings XI Punjab,4
AD Mascarenhas,Kolkata Knight Riders,36
AD Mascarenhas,Mumbai Indians,9
AD Mascarenhas,Pune Warriors,5
AD Mascarenhas,Royal Challengers Bangalore,0
AD Mascarenhas,Sunrisers Hyderabad,5
AD Mathews,Chennai Super Kings,81
AD Mathews,Deccan Chargers,69
AD Mathews,Delhi Daredevils,106
AD Mathews,Kings XI Punjab,57
AD Mathews,Kolkata Knight Riders,126
AD Mathews,Mumbai Indians,51
AD Mathews,Rajasthan Royals,96
AD Mathews,Royal Challengers Bangalore,64
AD Mathews,Sunrisers Hyderabad,74
AD Nath,Chennai Super Kings,24
AD Nath,Delhi Capitals,19
AD Nath,Kings XI Punjab,3
AD Nath,Kolkata Knight Riders,13
AD Nath,Mumbai Indians,14
AD Nath,Rajasthan Royals,9
AD Nath,Royal Challengers Bangalore,3
AD Nath,Sunrisers Hyderabad,5
AD Russell,Chennai Super Kings,300
AD Russell,Delhi Capitals,193
AD Russell,Delhi Daredevils,107
AD Russell,Gujarat Titans,48
AD Russell,Kings XI Punjab,251
AD Russell,Kolkata Knight Riders,4
AD Russell,Lucknow Super Giants,50
AD Russell,Mumbai Indians,203
AD Russell,Punjab Kings,80
AD Russell,Rajasthan Royals,177
AD Russell,Rising Pune Supergiants,17
AD Russell,Royal Challengers Bangalore,395
